行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润
4714,CN-2024470499,2024/04/26,2024/04/28,一级,张-14480,刘莉,消费者,台北,黑龙江,中国,东北,技术-电话-10001730,技术,电话,松下 实惠电话,38637.03,9,0.0,-6301.08
4715,CN-2022538478,2022/02/15,2022/02/20,标准级,谢-17552,毛春梅,消费者,潮州,江苏,中国,华东,办公-纸张-10003849,办公用品,纸张,Avery 工业纸张,29031.23,9,0.0,8922.3
4716,CN-2024336010,2024/08/16,2024/08/17,标准级,郑-12763,严俊,消费者,梧州,河南,中国,华中,技术-复印-10004477,技术,复印机,思科 银色复印机,368.11,7,0.0,9.95
4717,CN-2023750060,2023/03/12,2023/03/13,二级,马-20154,李冬梅,消费者,香港,广西,中国,华南,家具-桌子-10001304,家具,桌子,Novimex 实惠桌子,8903.05,4,0.47,1736.57
4718,CN-2024910072,2024/11/27,2024/11/28,二级,刘-11904,高淑珍,小型企业,台北,黑龙江,中国,东北,办公-装订-10001696,办公用品,装订机,GlobeWeis 耐用装订机,41273.44,10,0.0,9924.95
4719,CN-2021953143,2021/10/06,2021/10/08,标准级,王-15059,王想,公司,福州,西藏,中国,西南,技术-配件-10004875,技术,配件,柯尼卡 红色配件,16370.54,4,0.0,-1771.33
4720,CN-2023229912,2023/07/03,2023/07/07,标准级,李-17111,杨宁,小型企业,北京,北京,中国,华北,办公-纸张-10002052,办公用品,纸张,Fiskars 黑色纸张,21989.79,8,0.0,6688.18
4721,CN-2024143776,2024/08/06,2024/08/13,标准级,刘-16346,王瑞,公司,贵阳,黑龙江,中国,东北,家具-桌子-10003465,家具,桌子,Harbour Creations 工业桌子,751.7,1,0.6,117.8
4722,CN-2022796846,2022/06/12,2022/06/17,标准级,刘-15926,陈想,公司,海门,河北,中国,华北,办公-纸张-10003035,办公用品,纸张,Wilson Jones 银色纸张,12421.81,7,0.21,1585.52
4723,CN-2023442260,2023/12/24,2023/12/27,当日,朱-11618,张海燕,公司,辛集,贵州,中国,西南,家具-书架-10003547,家具,书架,Novimex 红色书架,3114.17,6,0.1,-41.87
4724,CN-2021153228,2021/06/01,2021/06/06,二级,赵-12276,吴帅,消费者,沈阳,新疆,中国,西北,家具-用具-10000304,家具,用具,Hon 工业用具,22475.98,10,0.38,7587.58
4725,CN-2024496534,2024/01/24,2024/01/25,标准级,吴-21919,彭鹏,消费者,齐齐哈尔,广西,中国,华南,技术-配件-10003796,技术,配件,思科 蓝色配件,15815.05,8,0.0,1155.87
4726,CN-2023128776,2023/08/15,2023/08/20,二级,马-19429,薛丽丽,公司,成都,湖南,中国,华中,技术-复印-10002548,技术,复印机,三星 蓝色复印机,2762.25,4,0.31,831.37
4727,CN-2023716260,2023/12/23,2023/12/30,标准级,刘-15764,石婷,消费者,巢湖,青海,中国,西北,办公-纸张-10003147,办公用品,纸张,GlobeWeis 银色纸张,28394.4,10,0.0,4721.08
4728,CN-2022401094,2022/06/26,2022/07/03,标准级,杨-14490,陈颖,消费者,北镇,新疆,中国,西北,办公-系固-10002390,办公用品,系固件,Avery 黑色系固件,47171.83,10,0.0,-7636.14
4729,CN-2022126533,2022/08/16,2022/08/17,二级,王-19439,王明,公司,重庆,重庆,中国,西南,家具-椅子-10001435,家具,椅子,Office Star 银色椅子,9940.67,2,0.0,2183.96
4730,CN-2023554986,2023/04/03,2023/04/08,标准级,何-18272,马萍,消费者,大冶,西藏,中国,西南,技术-设备-10001469,技术,设备,惠普 耐用设备,20485.8,5,0.0,6565.7
4731,CN-2024973376,2024/12/24,2024/12/25,标准级,贺-13346,施秀芳,小型企业,贵阳,四川,中国,西南,家具-桌子-10000488,家具,桌子,Hon 工业桌子,4084.49,3,0.0,-383.36
4732,CN-2021359527,2021/04/14,2021/04/18,标准级,张-13050,王建华,公司,宜都,广西,中国,华南,办公-器具-10000874,办公用品,器具,KitchenAid 工业器具,2243.89,8,0.32,-191.14
4733,CN-2023187241,2023/01/18,2023/01/19,标准级,吴-15165,张涛,消费者,宁德,贵州,中国,西南,办公-装订-10002753,办公用品,装订机,KitchenAid 红色装订机,16881.62,9,0.14,474.93
4734,CN-2021286243,2021/10/27,2021/11/01,二级,郭-14804,谢桂芝,公司,天津,内蒙古,中国,华北,家具-椅子-10000472,家具,椅子,Novimex 黑色椅子,9827.15,5,0.0,2708.91
4735,CN-2023300754,2023/11/21,2023/11/28,标准级,梁-10599,黄阳,消费者,重庆,重庆,中国,西南,家具-桌子-10004205,家具,桌子,Office Star 耐用桌子,9669.06,10,0.44,1409.52
4736,CN-2022750780,2022/03/01,2022/03/07,标准级,冯-12963,梁建,公司,六安,海南,中国,华南,技术-复印-10004179,技术,复印机,思科 实惠复印机,28569.23,6,0.0,-2518.67
4737,CN-2021816668,2021/01/09,2021/01/10,一级,罗-16938,胥辉,消费者,邯郸,黑龙江,中国,东北,办公-用品-10003115,办公用品,用品,KitchenAid 耐用用品,17870.33,4,0.0,2955.75
4738,CN-2023624022,2023/04/02,2023/04/03,二级,陈-17459,殷峰,消费者,兴安盟,河南,中国,华中,技术-电话-10002325,技术,电话,惠普 黑色电话,11399.01,5,0.0,1612.53
4739,CN-2023998483,2023/03/08,2023/03/11,标准级,张-14241,范亮,消费者,昆明,甘肃,中国,西北,办公-系固-10002199,办公用品,系固件,KitchenAid 实惠系固件,13112.92,8,0.12,3874.36
4740,CN-2023781694,2023/05/14,2023/05/20,一级,徐-20636,李林,小型企业,太原,吉林,中国,东北,办公-装订-10003664,办公用品,装订机,Wilson Jones 银色装订机,4420.93,6,0.0,-471.18
4741,CN-2023460148,2023/05/25,2023/05/27,标准级,文-11532,萧倩,消费者,海门,天津,中国,华北,技术-电话-10003593,技术,电话,思科 银色电话,938.51,1,0.16,18.36
4742,CN-2021843723,2021/05/01,2021/05/06,标准级,曾-12071,黄淑华,公司,呼和浩特,吉林,中国,东北,技术-电话-10002216,技术,电话,诺基亚 实惠电话,8663.41,5,0.41,-744.12
4743,CN-2024651756,2024/08/27,2024/08/28,标准级,孙-16094,刘洋,公司,西安,湖北,中国,华中,家具-椅子-10004008,家具,椅子,Novimex 黑色椅子,17055.17,10,0.0,1039.55
4744,CN-2022793616,2022/03/28,2022/04/01,标准级,陈-21884,郑楠,消费者,石家庄,青海,中国,西北,家具-椅子-10003229,家具,椅子,SAFCO 耐用椅子,8231.72,2,0.0,-1326.34
4745,CN-2022587200,2022/09/28,2022/09/29,标准级,刘-10659,陈雷,消费者,兰州,陕西,中国,西北,家具-桌子-10004184,家具,桌子,Harbour Creations 红色桌子,7510.49,6,0.0,-248.85
4746,CN-2021972123,2021/07/12,2021/07/16,标准级,庄-12148,邢芳,公司,杭州,陕西,中国,西北,家具-椅子-10002925,家具,椅子,Novimex 黑色椅子,6267.49,6,0.0,-496.11
4747,CN-2022574325,2022/04/04,2022/04/06,二级,李-12398,孟淑兰,公司,兴安盟,广西,中国,华南,办公-用品-10000165,办公用品,用品,Avery 白色用品,20610.13,8,0.0,3199.3
4748,CN-2022882496,2022/04/11,2022/04/16,二级,杨-10593,谷建,消费者,太原,黑龙江,中国,东北,家具-用具-10004897,家具,用具,Hon 蓝色用具,31005.5,8,0.0,9370.84
4749,CN-2024716658,2024/01/14,2024/01/19,二级,沈-14747,姜金凤,消费者,西宁,内蒙古,中国,华北,办公-系固-10003817,办公用品,系固件,Smead 蓝色系固件,18607.7,5,0.18,-2925.92
4750,CN-2022223431,2022/03/15,2022/03/19,二级,马-12406,卢帆,公司,北京,北京,中国,华北,技术-电话-10002689,技术,电话,三星 银色电话,1540.36,1,0.0,102.85
4751,CN-2024879660,2024/04/21,2024/04/26,标准级,王-18188,张丽丽,消费者,兴安盟,湖南,中国,华中,办公-装订-10001998,办公用品,装订机,Avery 蓝色装订机,16645.33,6,0.0,2092.43
4752,CN-2023778189,2023/09/11,2023/09/12,标准级,栾-21519,王静,公司,海门,江苏,中国,华东,办公-用品-10001669,办公用品,用品,GlobeWeis 白色用品,3093.4,2,0.0,294.3
4753,CN-2023629488,2023/03/20,2023/03/25,标准级,汤-13747,廖兰英,消费者,昆明,山西,中国,华北,家具-椅子-10000344,家具,椅子,Novimex 实惠椅子,2342.01,3,0.0,-226.64
4754,CN-2021480411,2021/12/01,2021/12/05,二级,李-18774,林建军,消费者,汕尾,湖北,中国,华中,技术-电话-10003295,技术,电话,惠普 白色电话,18080.05,5,0.0,-1381.49
4755,CN-2023120154,2023/03/23,2023/03/25,标准级,麦-12949,杨龙,公司,天津,吉林,中国,东北,技术-电话-10002902,技术,电话,三星 工业电话,25190.99,7,0.0,950.54
4756,CN-2022646448,2022/06/14,2022/06/19,标准级,张-14720,李勇,消费者,淮安,宁夏,中国,西北,办公-用品-10000583,办公用品,用品,Wilson Jones 实惠用品,3956.31,3,0.0,985.86
4757,CN-2024221345,2024/03/02,2024/03/08,二级,张-11161,李凤英,消费者,梧州,陕西,中国,西北,家具-书架-10002204,家具,书架,Hon 红色书架,9628.95,6,0.0,-296.32
4758,CN-2023723256,2023/11/21,2023/11/24,二级,吴-16835,俞凯,小型企业,辽阳,广东,中国,华南,办公-装订-10002512,办公用品,装订机,GlobeWeis 蓝色装订机,1380.15,1,0.4,252.69
4759,CN-2023650612,2023/04/02,2023/04/05,标准级,林-21360,蒋伟,消费者,六安,云南,中国,西南,家具-桌子-10002216,家具,桌子,Novimex 蓝色桌子,3708.85,10,0.0,1402.73
4760,CN-2023465973,2023/04/16,2023/04/20,二级,索-14485,钟金凤,消费者,昆明,西藏,中国,西南,办公-收纳-10000123,办公用品,收纳具,Avery 实惠收纳具,23958.88,5,0.0,-2401.55
4761,CN-2023377383,2023/02/25,2023/03/03,一级,张-21951,唐凤兰,公司,大冶,海南,中国,华南,办公-标签-10004140,办公用品,标签,Fiskars 银色标签,11446.22,6,0.46,393.43
4762,CN-2023948185,2023/12/03,2023/12/07,标准级,沈-21364,吴玲,消费者,台北,辽宁,中国,东北,家具-用具-10003623,家具,用具,Novimex 黑色用具,42859.64,9,0.0,2528.15
4763,CN-2021937081,2021/11/04,2021/11/07,标准级,吴-21714,刘云,小型企业,南昌,湖北,中国,华中,家具-椅子-10002593,家具,椅子,Harbour Creations 耐用椅子,3828.01,1,0.0,-744.63
4764,CN-2022899890,2022/03/01,2022/03/03,一级,刘-18955,罗秀珍,公司,太原,辽宁,中国,东北,办公-系固-10003051,办公用品,系固件,Smead 黑色系固件,28241.44,6,0.0,8984.41
4765,CN-2022949018,2022/12/14,2022/12/17,标准级,张-21089,李瑜,消费者,西安,湖南,中国,华中,技术-配件-10002387,技术,配件,松下 蓝色配件,1351.53,4,0.0,266.24
4766,CN-2023641809,2023/05/15,2023/05/16,标准级,杨-14828,蔡雪梅,消费者,沈阳,云南,中国,西南,技术-复印-10002349,技术,复印机,柯尼卡 银色复印机,14489.22,5,0.0,-207.01
4767,CN-2024247128,2024/01/28,2024/01/30,一级,汤-11021,江雷,消费者,佛山,湖北,中国,华中,办公-标签-10003380,办公用品,标签,Fiskars 白色标签,31253.94,9,0.0,-4838.6
4768,CN-2023488932,2023/08/09,2023/08/16,当日,任-11047,张丹,消费者,嘉禾,湖南,中国,华中,技术-复印-10003859,技术,复印机,松下 实惠复印机,28555.19,6,0.0,-5506.85
4769,CN-2021269034,2021/01/14,2021/01/15,二级,贾-15354,张红霞,消费者,汕尾,吉林,中国,东北,办公-系固-10004050,办公用品,系固件,Avery 白色系固件,6632.37,9,0.0,691.54
4770,CN-2023444727,2023/11/19,2023/11/26,一级,姜-20274,常成,消费者,西安,甘肃,中国,西北,家具-桌子-10004302,家具,桌子,Harbour Creations 工业桌子,3067.94,2,0.0,-86.96
4771,CN-2023403652,2023/04/20,2023/04/22,标准级,杨-21146,王想,公司,北镇,天津,中国,华北,家具-书架-10003019,家具,书架,Office Star 蓝色书架,24571.6,7,0.0,1937.42
4772,CN-2024439006,2024/11/17,2024/11/22,二级,张-17050,董霞,消费者,拉萨,福建,中国,华东,办公-用品-10003792,办公用品,用品,Fiskars 银色用品,8574.35,6,0.42,-676.83
4773,CN-2023156976,2023/08/09,2023/08/13,标准级,樊-10967,李秀英,公司,海门,湖南,中国,华中,家具-椅子-10004787,家具,椅子,Hon 黑色椅子,3272.64,8,0.59,415.13
4774,CN-2023998679,2023/07/12,2023/07/13,标准级,朱-17037,郑磊,公司,通辽,宁夏,中国,西北,技术-复印-10001714,技术,复印机,柯尼卡 工业复印机,9920.95,2,0.0,-985.9
4775,CN-2023703587,2023/08/06,2023/08/11,标准级,顾-18192,刘瑜,消费者,广州,湖南,中国,华中,办公-系固-10001377,办公用品,系固件,Wilson Jones 耐用系固件,18033.82,4,0.0,5013.92
4776,CN-2024621245,2024/12/07,2024/12/08,当日,乐-15479,王桂花,小型企业,潮州,宁夏,中国,西北,办公-收纳-10003760,办公用品,收纳具,KitchenAid 实惠收纳具,7537.84,10,0.0,2699.5
4777,CN-2021124674,2021/06/14,2021/06/17,标准级,李-20050,陈佳,消费者,香港,宁夏,中国,西北,办公-用品-10003097,办公用品,用品,Wilson Jones 工业用品,33375.15,7,0.0,2455.4
4778,CN-2021889003,2021/12/17,2021/12/18,标准级,黄-18518,麦玉,消费者,乌鲁木齐,山西,中国,华北,家具-桌子-10002429,家具,桌子,Office Star 蓝色桌子,10154.2,10,0.0,592.96
4779,CN-2021778073,2021/08/20,2021/08/23,一级,刘-14069,李桂兰,消费者,重庆,重庆,中国,西南,技术-复印-10000008,技术,复印机,三星 白色复印机,32940.03,9,0.0,-472.44
4780,CN-2021925492,2021/01/08,2021/01/11,标准级,王-13770,李凤兰,小型企业,太原,河南,中国,华中,家具-书架-10001514,家具,书架,SAFCO 耐用书架,9416.63,5,0.0,3521.01
4781,CN-2024721833,2024/06/09,2024/06/16,一级,刘-11444,陈佳,小型企业,关岭,安徽,中国,华东,技术-电话-10000218,技术,电话,柯尼卡 白色电话,1655.63,3,0.36,-210.77
4782,CN-2024973620,2024/04/24,2024/04/25,标准级,尹-15495,郭旭,消费者,上海,上海,中国,华东,办公-用品-10004279,办公用品,用品,GlobeWeis 蓝色用品,33877.79,7,0.0,-2606.35
4783,CN-2023200796,2023/12/17,2023/12/23,二级,惠-13798,文倩,公司,贵阳,广西,中国,华南,办公-收纳-10003119,办公用品,收纳具,Smead 实惠收纳具,30260.33,7,0.0,8082.71
4784,CN-2021919418,2021/05/12,2021/05/14,标准级,向-15270,赵桂芳,小型企业,张家港,广西,中国,华南,办公-纸张-10000940,办公用品,纸张,KitchenAid 实惠纸张,14422.06,4,0.0,-2004.39
4785,CN-2023370483,2023/11/08,2023/11/09,标准级,吴-21545,王瑜,消费者,海门,河北,中国,华北,办公-标签-10002799,办公用品,标签,Avery 红色标签,30191.76,8,0.0,9351.58
4786,CN-2021156218,2021/09/23,2021/09/27,标准级,陈-18620,邢坤,消费者,辽阳,海南,中国,华南,家具-桌子-10002948,家具,桌子,Office Star 银色桌子,28517.2,7,0.0,-4192.75
4787,CN-2021654389,2021/07/15,2021/07/16,一级,郝-14886,吴彬,消费者,杭州,陕西,中国,西北,办公-装订-10000912,办公用品,装订机,Smead 银色装订机,11579.78,5,0.22,3118.86
4788,CN-2023192185,2023/05/17,2023/05/23,标准级,欧-10171,吴凤兰,消费者,南京,黑龙江,中国,东北,办公-装订-10004743,办公用品,装订机,Wilson Jones 实惠装订机,12957.48,4,0.26,-1839.46
4789,CN-2022449394,2022/07/14,2022/07/18,标准级,赵-13257,邬帅,消费者,呼和浩特,辽宁,中国,东北,办公-收纳-10002401,办公用品,收纳具,Wilson Jones 工业收纳具,1140.4,9,0.28,328.53
4790,CN-2024448727,2024/02/26,2024/02/28,标准级,唐-13734,马桂芝,消费者,合山,安徽,中国,华东,技术-复印-10002672,技术,复印机,松下 银色复印机,13662.19,9,0.0,-1110.06
4791,CN-2022893568,2022/08/17,2022/08/22,二级,胥-19329,周瑞,公司,辽阳,黑龙江,中国,东北,技术-复印-10004651,技术,复印机,松下 实惠复印机,22924.01,6,0.0,3230.85
4792,CN-2022940227,2022/07/18,2022/07/22,一级,宾-17412,江东,消费者,马鞍山,新疆,中国,西北,家具-椅子-10000491,家具,椅子,Harbour Creations 白色椅子,9890.4,6,0.0,1047.3
4793,CN-2023311005,2023/09/24,2023/09/25,标准级,王-11678,吴慧,消费者,长春,云南,中国,西南,办公-系固-10000984,办公用品,系固件,KitchenAid 红色系固件,8715.1,10,0.0,2043.94
4794,CN-2024438488,2024/10/15,2024/10/19,一级,李-17181,耿帆,消费者,西安,广东,中国,华南,办公-用品-10000349,办公用品,用品,Avery 工业用品,24120.04,5,0.0,2675.96
4795,CN-2022272949,2022/11/06,2022/11/13,标准级,黎-17902,刘成,消费者,荆门,黑龙江,中国,东北,家具-桌子-10002964,家具,桌子,SAFCO 工业桌子,25394.51,10,0.0,4313.58
4796,CN-2024345406,2024/02/08,2024/02/14,一级,王-12508,贺建平,公司,南昌,福建,中国,华东,技术-配件-10000687,技术,配件,惠普 红色配件,2056.67,1,0.45,728.14
4797,CN-2024775533,2024/10/14,2024/10/17,标准级,陈-19590,李楠,消费者,海口,甘肃,中国,西北,技术-配件-10004108,技术,配件,松下 白色配件,27224.13,10,0.31,-2984.27
4798,CN-2024976218,2024/08/08,2024/08/09,当日,程-10275,汪旭,消费者,六盘水,湖北,中国,华中,技术-复印-10001485,技术,复印机,思科 白色复印机,21081.41,5,0.0,-2800.44
4799,CN-2022668044,2022/07/21,2022/07/28,标准级,段-11941,王军,小型企业,巢湖,宁夏,中国,西北,办公-系固-10000914,办公用品,系固件,Avery 银色系固件,12960.79,5,0.0,-1372.64
4800,CN-2023662821,2023/07/09,2023/07/16,一级,王-14277,刘晨,消费者,哈尔滨,海南,中国,华南,家具-用具-10002886,家具,用具,SAFCO 实惠用具,23842.67,7,0.0,-1912.19
4801,CN-2022258036,2022/01/14,2022/01/18,标准级,刘-10715,李冬梅,消费者,长沙,河南,中国,华中,家具-用具-10003200,家具,用具,Novimex 工业用具,16596.64,6,0.0,164.94
4802,CN-2022610091,2022/12/23,2022/12/25,二级,唐-19817,潘玉珍,消费者,兴城,山东,中国,华东,办公-装订-10003401,办公用品,装订机,Smead 红色装订机,3988.3,5,0.0,1090.54
4803,CN-2022704915,2022/05/27,2022/06/02,标准级,王-17496,沈岩,消费者,上海,吉林,中国,东北,技术-设备-10002709,技术,设备,三星 白色设备,31107.8,7,0.0,-4270.99
4804,CN-2023147783,2023/04/10,2023/04/13,标准级,伊-12919,王龙,公司,齐齐哈尔,江西,中国,华东,家具-书架-10004195,家具,书架,Office Star 耐用书架,39289.87,8,0.0,-6334.11
4805,CN-2021262571,2021/10/12,2021/10/15,标准级,刘-14424,陈金凤,消费者,哈尔滨,广东,中国,华南,办公-用品-10004024,办公用品,用品,Wilson Jones 耐用用品,8748.99,3,0.0,2563.93
4806,CN-2022151699,2022/02/21,2022/02/26,二级,江-17120,覃建平,消费者,天津,辽宁,中国,东北,技术-配件-10002210,技术,配件,三星 工业配件,3763.76,4,0.0,774.52
4807,CN-2022379080,2022/03/05,2022/03/08,标准级,周-16351,周桂兰,消费者,重庆,重庆,中国,西南,技术-设备-10002400,技术,设备,柯尼卡 工业设备,10067.97,9,0.0,-587.54
4808,CN-2024916960,2024/11/09,2024/11/14,标准级,张-13467,马浩,小型企业,宜都,江苏,中国,华东,办公-器具-10000384,办公用品,器具,Avery 银色器具,7399.12,2,0.0,-1168.3
4809,CN-2024682289,2024/11/23,2024/11/27,二级,周-21320,刘辉,公司,宜都,西藏,中国,西南,办公-信封-10001065,办公用品,信封,Avery 银色信封,1735.47,1,0.0,366.3
4810,CN-2024500383,2024/09/23,2024/09/29,二级,邢-12549,梁兵,公司,通辽,江苏,中国,华东,家具-桌子-10001635,家具,桌子,Novimex 银色桌子,4112.43,4,0.0,-537.84
4811,CN-2021758151,2021/08/21,2021/08/27,标准级,马-15251,卢琴,消费者,齐齐哈尔,山西,中国,华北,家具-桌子-10004950,家具,桌子,Novimex 黑色桌子,16183.12,7,0.0,1600.2
4812,CN-2021935136,2021/08/16,2021/08/23,二级,鞠-18794,王华,小型企业,上海,上海,中国,华东,办公-标签-10000756,办公用品,标签,GlobeWeis 黑色标签,14754.93,5,0.0,738.1
4813,CN-2024463461,2024/04/23,2024/04/29,一级,原-14730,王桂荣,消费者,呼和浩特,吉林,中国,东北,家具-椅子-10003790,家具,椅子,Novimex 银色椅子,32237.54,9,0.0,1572.74
4814,CN-2024255374,2024/06/08,2024/06/15,标准级,李-19925,白秀芳,消费者,太原,江西,中国,华东,家具-椅子-10004042,家具,椅子,Novimex 银色椅子,704.2,4,0.0,50.96
4815,CN-2023876249,2023/11/18,2023/11/19,一级,李-18433,孙斌,消费者,上海,辽宁,中国,东北,家具-书架-10001802,家具,书架,Harbour Creations 蓝色书架,26350.71,8,0.13,-1920.57
4816,CN-2023523238,2023/07/07,2023/07/09,当日,包-12087,萧帆,公司,大冶,湖南,中国,华中,技术-复印-10003909,技术,复印机,思科 黑色复印机,779.34,1,0.19,-24.25
4817,CN-2021112922,2021/06/19,2021/06/22,二级,陈-10713,马洁,消费者,石家庄,湖南,中国,华中,办公-信封-10001888,办公用品,信封,Wilson Jones 实惠信封,614.76,2,0.0,-49.0
4818,CN-2023992492,2023/08/22,2023/08/28,标准级,王-17990,王玉,消费者,关岭,海南,中国,华南,办公-标签-10004619,办公用品,标签,Smead 工业标签,1138.89,1,0.0,351.35
4819,CN-2023601181,2023/06/17,2023/06/22,二级,都-20000,张建平,消费者,重庆,重庆,中国,西南,技术-复印-10002484,技术,复印机,柯尼卡 红色复印机,26070.77,6,0.0,-3022.39
4820,CN-2022877637,2022/03/23,2022/03/24,标准级,朱-14080,李华,消费者,上海,广西,中国,华南,家具-桌子-10003931,家具,桌子,Office Star 耐用桌子,11429.31,5,0.36,3877.09
4821,CN-2024203297,2024/03/16,2024/03/22,标准级,李-21256,刘金凤,消费者,拉萨,江西,中国,华东,家具-桌子-10004890,家具,桌子,Hon 蓝色桌子,29533.15,7,0.12,6774.66
4822,CN-2024364246,2024/02/08,2024/02/11,一级,刘-15836,高瑜,公司,哈尔滨,云南,中国,西南,办公-纸张-10002309,办公用品,纸张,Smead 黑色纸张,2324.68,5,0.0,499.91
4823,CN-2024291781,2024/12/07,2024/12/09,一级,关-17776,鞠博,消费者,通辽,广西,中国,华南,家具-书架-10000256,家具,书架,Hon 黑色书架,10524.2,8,0.0,2867.47
4824,CN-2024222578,2024/03/22,2024/03/27,标准级,张-10248,方瑜,消费者,北京,西藏,中国,西南,办公-系固-10003483,办公用品,系固件,Avery 耐用系固件,39429.37,8,0.0,-7466.21
4825,CN-2021360801,2021/11/09,2021/11/16,二级,陈-18990,周淑珍,消费者,南宁,黑龙江,中国,东北,办公-信封-10000721,办公用品,信封,KitchenAid 耐用信封,1673.77,1,0.0,157.44
4826,CN-2023420955,2023/06/08,2023/06/11,一级,程-11083,张洋,消费者,兴安盟,宁夏,中国,西北,家具-桌子-10002398,家具,桌子,SAFCO 黑色桌子,18109.4,5,0.0,-1380.69
4827,CN-2024107017,2024/04/15,2024/04/18,标准级,王-11127,王林,公司,济南,浙江,中国,华东,家具-用具-10002950,家具,用具,Novimex 黑色用具,12760.14,4,0.0,-885.69
4828,CN-2021958324,2021/02/27,2021/03/03,标准级,张-17463,张桂英,公司,海口,福建,中国,华东,技术-复印-10000274,技术,复印机,柯尼卡 白色复印机,37992.49,10,0.19,10393.1
4829,CN-2022179942,2022/01/19,2022/01/22,二级,刘-21492,侯华,消费者,荆门,吉林,中国,东北,技术-复印-10002436,技术,复印机,松下 红色复印机,24745.85,7,0.0,4412.76
4830,CN-2023923154,2023/07/11,2023/07/12,标准级,孙-15177,王丽华,消费者,杭州,广东,中国,华南,家具-椅子-10003946,家具,椅子,Novimex 黑色椅子,4817.44,1,0.0,-53.72
4831,CN-2023369290,2023/05/08,2023/05/12,一级,李-13775,王丽娟,公司,兴城,吉林,中国,东北,技术-电话-10003748,技术,电话,诺基亚 红色电话,6534.96,2,0.25,642.02
4832,CN-2023175579,2023/04/05,2023/04/09,标准级,邱-10683,翁婷,消费者,关岭,甘肃,中国,西北,办公-信封-10004942,办公用品,信封,Fiskars 实惠信封,1239.73,1,0.0,217.18
4833,CN-2021218955,2021/11/17,2021/11/23,一级,张-18896,陈丽娟,消费者,重庆,河南,中国,华中,办公-标签-10002533,办公用品,标签,Wilson Jones 银色标签,3360.8,1,0.0,-70.44
4834,CN-2021254415,2021/11/20,2021/11/22,二级,阎-18467,刘莹,消费者,关岭,青海,中国,西北,家具-用具-10004745,家具,用具,Harbour Creations 黑色用具,7463.21,7,0.0,2917.01
4835,CN-2021805834,2021/05/21,2021/05/22,二级,金-15192,刘鹏,消费者,巢湖,河南,中国,华中,家具-椅子-10002624,家具,椅子,Hon 白色椅子,3218.94,1,0.0,831.06
4836,CN-2024958144,2024/08/27,2024/08/31,标准级,陶-11785,黎玉英,消费者,香港,贵州,中国,西南,办公-系固-10003967,办公用品,系固件,KitchenAid 银色系固件,18743.74,10,0.0,3512.5
4837,CN-2023792139,2023/11/14,2023/11/16,标准级,陈-19017,聂志强,公司,北京,北京,中国,华北,办公-美术-10003243,办公用品,美术,Fiskars 工业美术,32420.1,8,0.0,-5579.03
4838,CN-2021270429,2021/06/16,2021/06/23,标准级,王-15909,许秀云,消费者,呼和浩特,黑龙江,中国,东北,技术-复印-10004938,技术,复印机,思科 耐用复印机,2613.29,2,0.0,-365.59
4839,CN-2024815981,2024/02/04,2024/02/07,标准级,李-13029,高玉英,消费者,辽阳,山西,中国,华北,技术-设备-10000960,技术,设备,诺基亚 银色设备,8935.06,3,0.0,1115.56
4840,CN-2021552014,2021/08/07,2021/08/11,二级,姬-13121,邓峰,消费者,合肥,青海,中国,西北,家具-书架-10002369,家具,书架,Office Star 耐用书架,13459.31,7,0.0,4463.89
4841,CN-2021138371,2021/08/04,2021/08/11,一级,黄-11401,苏淑英,消费者,海口,西藏,中国,西南,办公-用品-10003917,办公用品,用品,Fiskars 工业用品,11648.08,9,0.54,3465.28
4842,CN-2021497287,2021/11/06,2021/11/09,二级,黄-20892,石雪梅,公司,天津,广东,中国,华南,办公-纸张-10001660,办公用品,纸张,KitchenAid 实惠纸张,1720.61,1,0.31,-109.75
4843,CN-2023630302,2023/08/09,2023/08/12,标准级,王-16129,刘旭,消费者,海门,湖北,中国,华中,办公-纸张-10000610,办公用品,纸张,Smead 白色纸张,2913.17,1,0.0,108.98
4844,CN-2021188124,2021/04/12,2021/04/17,标准级,包-19628,韩雪梅,消费者,太原,河南,中国,华中,办公-收纳-10002841,办公用品,收纳具,Wilson Jones 白色收纳具,11740.72,5,0.26,50.16
4845,CN-2023587672,2023/11/02,2023/11/06,标准级,华-18376,周欣,公司,大冶,浙江,中国,华东,家具-椅子-10000648,家具,椅子,Hon 实惠椅子,3052.23,1,0.22,46.42
4846,CN-2021156156,2021/03/19,2021/03/24,标准级,郭-16758,唐超,公司,北京,北京,中国,华北,技术-电话-10000186,技术,电话,松下 工业电话,1874.88,1,0.0,-111.11
4847,CN-2024284137,2024/02/23,2024/02/27,标准级,邱-19442,丁斌,消费者,汕尾,四川,中国,西南,技术-配件-10002572,技术,配件,三星 实惠配件,4375.26,2,0.24,387.37
4848,CN-2022133076,2022/01/26,2022/01/27,二级,孙-17602,岳畅,消费者,通辽,新疆,中国,西北,家具-用具-10003347,家具,用具,Office Star 红色用具,10949.93,6,0.0,-754.66
4849,CN-2021650733,2021/04/21,2021/04/23,标准级,贾-12957,王淑珍,消费者,沈阳,吉林,中国,东北,办公-收纳-10003348,办公用品,收纳具,Smead 白色收纳具,10344.24,8,0.0,997.68
